Model,best_params,Outer_fold,mape_val_cv,mape_test_cv,aic_val_cv,aic_test_cv
Prophet,"{'changepoint_prior_scale': 0.00597979631236182, 'seasonality_prior_scale': 9.506844785453833, 'holidays_prior_scale': 0.9889716683625999}",1,0.0036178532125999844,0.0037249052900398473,,
Prophet,"{'changepoint_prior_scale': 0.0015412837411840866, 'seasonality_prior_scale': 0.014011373262405253, 'holidays_prior_scale': 0.554591533394236}",2,0.003605245939714341,0.003751494977299876,,
Prophet,"{'changepoint_prior_scale': 0.0010560660566315651, 'seasonality_prior_scale': 4.363847430415745, 'holidays_prior_scale': 0.07032680064546482}",3,0.003574035075400898,0.0037935860305042153,,
Prophet,"{'changepoint_prior_scale': 0.014619648063215387, 'seasonality_prior_scale': 0.013676769056295343, 'holidays_prior_scale': 8.408039741031441}",4,0.003558894943176037,0.0037747740819754775,,
Prophet,"{'changepoint_prior_scale': 0.1397807594380368, 'seasonality_prior_scale': 0.1504219852108692, 'holidays_prior_scale': 0.010129035799174341}",5,0.003551658273623103,0.0037650737052375752,,
Prophet,"{'changepoint_prior_scale': 0.0015412837411840866, 'seasonality_prior_scale': 0.014011373262405253, 'holidays_prior_scale': 0.554591533394236}",6,0.0035758065107324897,0.0037109358570451517,,
Prophet,"{'changepoint_prior_scale': 0.009401272747611407, 'seasonality_prior_scale': 0.1818727404069916, 'holidays_prior_scale': 0.08438401903367226}",7,0.00365222630189325,0.0036775908921865843,,
Prophet,"{'changepoint_prior_scale': 0.019399619012701493, 'seasonality_prior_scale': 0.24031420469002998, 'holidays_prior_scale': 7.1218791219440964}",8,0.0037233441685267815,0.003659790703146676,,
ExponentialSmoothing,{'seasonal': 'add'},1,0.001081146222219476,0.0010935602531807465,-1801.2023207687303,-3504.5532148355655
ExponentialSmoothing,{'seasonal': 'add'},2,0.001099857915785997,0.0010784798443863595,-2054.0030245342277,-3732.538090357554
ExponentialSmoothing,{'seasonal': 'add'},3,0.0010970981863307713,0.0010333736533515959,-2301.6127267926854,-3954.5761009200123
ExponentialSmoothing,{'seasonal': 'add'},4,0.001118810160257791,0.0010856145834532839,-2548.540175125041,-4203.840867596922
ExponentialSmoothing,{'seasonal': 'add'},5,0.0011143531459676477,0.0010488842694440878,-2774.922020407637,-4465.295711318238
ExponentialSmoothing,{'seasonal': 'add'},6,0.001101046998439988,0.0010896729172319738,-3018.3917368611337,-4707.524488355913
ExponentialSmoothing,{'seasonal': 'add'},7,0.0011213252714738996,0.0010339833151148676,-3245.184288916373,-4909.584951668497
ExponentialSmoothing,{'seasonal': 'add'},8,0.0010935602531807465,0.0010611385419949679,-3504.5532148355655,-5174.971716576454
SARIMAX,"{'p': 17, 'q': 17}",1,0.009624327696161719,0.009653866861962901,2146.6550804260823,4069.2327911287202
SARIMAX,"{'p': 18, 'q': 18}",2,0.009336002678478042,0.009444589543303197,2426.8833442415407,4186.806503505712
SARIMAX,"{'p': 17, 'q': 18}",3,0.009482736244346056,0.009493091993201324,2736.756604335784,4528.637273587549
SARIMAX,"{'p': 21, 'q': 16}",4,0.009710721715922898,0.009734182053815028,3003.2938853866253,4609.791325769738
SARIMAX,"{'p': 24, 'q': 17}",5,0.007523386579529909,0.007845762098869592,3274.6614303902256,4842.510668734149
SARIMAX,"{'p': 24, 'q': 16}",6,0.010014196146265737,0.009990784644646608,3563.40872120487,5171.97401987433
SARIMAX,"{'p': 24, 'q': 17}",7,0.007641102116181789,0.007559487120969422,3732.8281528724506,5410.331629040026
SARIMAX,"{'p': 24, 'q': 16}",8,0.009948035840040002,0.009760754241320236,4009.8641274708953,5779.331543955883
