number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,3768.099926301034,2022-10-29 13:18:35.618157,2022-10-29 13:18:45.924058,0 days 00:00:10.305901,16,12,3768.099926301034,0.015279708615361357,COMPLETE
1,3866.729377449623,2022-10-29 13:18:46.055338,2022-10-29 13:18:56.718098,0 days 00:00:10.662760,15,11,3866.729377449623,0.013149231200798462,COMPLETE
2,3801.7231967186963,2022-10-29 13:18:56.863109,2022-10-29 13:19:22.449806,0 days 00:00:25.586697,11,23,3801.7231967186963,0.010436066530368878,COMPLETE
3,3671.6569020237857,2022-10-29 13:19:22.581220,2022-10-29 13:19:58.180802,0 days 00:00:35.599582,24,21,3671.6569020237857,0.06787948356405121,COMPLETE
4,3856.4463813761085,2022-10-29 13:19:58.302302,2022-10-29 13:20:03.358653,0 days 00:00:05.056351,14,5,3856.4463813761085,0.009767826281748437,COMPLETE
5,3868.5297328452157,2022-10-29 13:20:03.485693,2022-10-29 13:20:04.941869,0 days 00:00:01.456176,6,1,3868.5297328452157,0.011704822999326151,COMPLETE
6,3658.9494751840757,2022-10-29 13:20:05.058324,2022-10-29 13:20:20.137218,0 days 00:00:15.078894,16,17,3658.9494751840757,0.009543594597589179,COMPLETE
7,3785.629840083106,2022-10-29 13:20:20.264587,2022-10-29 13:20:39.417710,0 days 00:00:19.153123,8,23,3785.629840083106,0.009725644982137663,COMPLETE
8,3756.6355915806616,2022-10-29 13:20:39.558292,2022-10-29 13:21:08.998049,0 days 00:00:29.439757,14,24,3756.6355915806616,0.01007562627019698,COMPLETE
9,3979.998893391773,2022-10-29 13:21:09.129153,2022-10-29 13:21:12.318534,0 days 00:00:03.189381,13,1,3979.998893391773,0.009935460354071016,COMPLETE
10,3957.8904525085045,2022-10-29 13:21:12.443346,2022-10-29 13:21:14.825115,0 days 00:00:02.381769,2,14,3957.8904525085045,0.015772236261523468,COMPLETE
11,3722.8171420419567,2022-10-29 13:21:14.956666,2022-10-29 13:21:45.115745,0 days 00:00:30.159079,24,22,3722.8171420419567,0.032608477246775104,COMPLETE
12,3563.40872120487,2022-10-29 13:21:45.235867,2022-10-29 13:22:08.110014,0 days 00:00:22.874147,24,16,3563.40872120487,0.010014196146265737,COMPLETE
13,3774.3536403157386,2022-10-29 13:22:08.230770,2022-10-29 13:22:24.203102,0 days 00:00:15.972332,23,12,3774.3536403157386,0.028314519683482593,COMPLETE
14,3572.0202985025517,2022-10-29 13:22:24.342737,2022-10-29 13:22:42.794625,0 days 00:00:18.451888,17,18,3572.0202985025517,0.009459645423836108,COMPLETE
15,12946.036149140537,2022-10-29 13:22:42.926976,2022-10-29 13:23:00.017119,0 days 00:00:17.090143,0,24,12946.036149140537,0.9822204582832877,COMPLETE
16,3983.291917090832,2022-10-29 13:23:00.139839,2022-10-29 13:23:08.799931,0 days 00:00:08.660092,21,2,3983.291917090832,0.009842454980671116,COMPLETE
17,3588.107261983474,2022-10-29 13:23:08.920984,2022-10-29 13:23:34.855717,0 days 00:00:25.934733,23,16,3588.107261983474,0.01014735234487206,COMPLETE
18,3610.5005360370733,2022-10-29 13:23:34.986383,2022-10-29 13:23:53.737362,0 days 00:00:18.750979,19,18,3610.5005360370733,0.009527520023459963,COMPLETE
19,3771.2077311990142,2022-10-29 13:23:53.854520,2022-10-29 13:24:06.067447,0 days 00:00:12.212927,10,17,3771.2077311990142,0.010502670269951886,COMPLETE
